Author,Comment,Likes,Timestamp
@FoisalVai56,please vegitarian do not cry 😂😂😂,168,2024-12-30T10:09:30Z
@shimantoxd,this video is nightmare for Vegetarian,0,2024-12-29T20:04:15Z
@alilubis89,Free palestine,0,2024-12-29T16:55:06Z
@faisalshahajat2872,Hammer for smashing meats ?? It will destroy the whole nervous systems !,0,2024-12-29T09:30:55Z
@jimmypangestu7083,they said KFC supports israel? does Israeli soldiers throw chicken to gaza?,0,2024-12-29T05:18:30Z
@Ukc892,These people in the comment section prolly never tried any other fast food to be saying KFC is good.,0,2024-12-29T05:07:30Z
@sorryNOTsorry11,I think it’s disgusting that these poor animals are there only to kill !!!!,0,2024-12-29T00:16:15Z
@MassMade134,"this video is super informative and really showcases the unique process behind KFC&#39;s fried chicken. however, i can&#39;t help but wonder if the standardization of such iconic food takes away from the personal touch and flavor that comes from home-cooked meals. anybody else feel that way?",1,2024-12-28T15:19:16Z
@MuhammadHassanAli-n3z,Now I see this I can&#39;t not believe that,0,2024-12-28T10:14:32Z
@biseswarsingha1895,Now a days KFC chicken quality has changed so I stop eating KFC &#39;s chicken,0,2024-12-27T15:34:42Z
@GantaStudio,imagine the smell inside💀,0,2024-12-27T10:10:19Z
@KiranGz,Kfc❤️‍🔥,1,2024-12-26T17:53:06Z
@calendarentertainment7215,Islamic people should not eat.,0,2024-12-26T14:40:54Z
@davidfarmingagriculture,The fried chicken pieces are really delicious.,0,2024-12-26T02:23:37Z
@dontbecruel6500,They are providing Cancer to the world,0,2024-12-25T14:42:47Z
@MAKUKIT,Me ex crew KFC INDONESIA,0,2024-12-24T13:56:16Z
@weissenbachneda,"<a href=""https://www.youtube.com/watch?v=dE6qnfNvNl4&amp;t=504"">8:24</a> Wow",0,2024-12-23T12:04:13Z
@fruitsprocess,The preparation process is truly impressive ✨,3,2024-12-23T03:40:43Z
@YandriPranaka,Crispy wing 😅,0,2024-12-23T00:37:10Z
@gurpreetwalia344,Mercy for Animals. Karma will come back. Please be Vegetarian.,0,2024-12-22T22:12:33Z
@NightDark-bw3xv,Boycott KFC,0,2024-12-22T15:34:38Z
@atchareeyahp2983,I love KFC forever 🎉,0,2024-12-22T14:01:01Z
@kurshiwazzza5983,KFC not halal,0,2024-12-22T12:08:00Z
@hemantdekate5331,Bycot halal meal,0,2024-12-22T11:57:46Z
@TheRoosterDiariesTV,Hay đó b,0,2024-12-21T20:28:42Z
@satwindersingh2009,Animal cruelty,1,2024-12-21T14:04:03Z
@WiniFarm,Great video!,2,2024-12-21T04:55:21Z
@mingkailung512,"<a href=""UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE""></a>",0,2024-12-20T09:44:38Z
@FahimAsraf-w2c,No chicken was harmed during making this video.,0,2024-12-19T15:48:19Z
@AA-xv9uu,Wow what a modern technology of food to get cancer in human😂..<br>U guys eat untill u get a serious infection in ur gut !! I have uc in small age due to some immune compromised but some time we can get infections from these types of food and the pain im having is unbearable and im advising people not to eat this!! But they dont litsen me!! Take care <br>All we want a peaceful death <br>Not a painfull one❤,1,2024-12-19T05:54:15Z
@FarmersEdge-v8n,"Wow, I’m really surprised by the KFC fried chicken production process! The use of modern technology makes the process both quick and hygienic. I didn’t know fried chicken could be prepared so automatically and uniformly. It’s amazing to see the combination of tradition and technology in the production process.",10,2024-12-18T13:17:56Z
@foyazsarkarniber,Bangladesh 🇧🇩🇧🇩🇧🇩,1,2024-12-18T10:30:38Z
@mdrizwan1991,Boycott kfc,2,2024-12-17T15:41:16Z
@Tang-ina-mo-28,Gusto ko talaga sa kfc unli gravy😅,3,2024-12-17T10:23:48Z
@BALASUBRAMANI_C,But in india this kfc use skin with its 😢😢😢😢😢😢,2,2024-12-16T16:19:51Z
@lulzsec220,HARAM,2,2024-12-16T14:41:41Z
@moazzamghouri5566,In Pakistan they sabroso patties and fillets,1,2024-12-16T13:39:46Z
@shakilahmmed1845,❤,1,2024-12-15T16:49:11Z
@FunnyVidieoz,എന്താ le....😊,1,2024-12-15T14:10:46Z
@SilverLivingHub,"impressed , Amazing KFC",3,2024-12-15T12:07:00Z
@oculosprudentium8486,Kfc chicken is not made in a factory like a cake.<br>It&#39;s cooked onsite in each local retail store <br>So this title is a lie,2,2024-12-15T03:46:40Z
@r.jawandha5343,🤤🤤😋😋😋😋😋,1,2024-12-15T03:00:22Z
@raselmia1785,This is not halal,4,2024-12-14T08:12:46Z
@processfield1,"wow, it is a GREAT machine and process, thanks for your video. It explain my curiosity",2,2024-12-13T13:54:42Z
@khaarthik8874,I&#39;m going to eat kfc now😂😂😂,13,2024-12-12T13:09:40Z
@Hamittt-i2j,🎉🎉🎉🎉,1,2024-12-10T17:11:00Z
@davelaarsalomonderrick-id4kt,❤A friend to water makes nice lime pie waitout bread if love judge properly,2,2024-12-07T16:03:38Z
@roycesuwan6864,Boycott this shit. It&#39;s terrible for your health anyways!,3,2024-12-07T14:23:48Z
@MyDarkWorldX,"wow, this video is super interesting and really gives insight into the process! i just wonder if the factory methods compromise the traditional flavors that make KFC so special? i mean, there’s just something about the old-school recipe that feels more authentic to me. what do you guys think?",7,2024-12-06T05:57:59Z
@NoalFactoryProcess,"KFC is quite good, sometimes if you want something different Jollibee is not bad 😍😍",4,2024-12-06T03:51:38Z
@goodwilllightinggoodwillli4847,❤❤,1,2024-12-05T06:14:29Z
@ArnestaPrastyo,Okey,1,2024-12-05T06:12:39Z
@hanngoc69974,technolog is so useful,3,2024-12-05T04:01:17Z
@KozmoDyne,"This was probably an interesting video but with that bizarre voice, I only lasted 46 seconds.",107,2024-12-04T21:38:28Z
